[0] 标题='天纪 ck.w', 类名=Afx:400000:b:10003:6:3f30a01
[1] 标题='GDI+ Window (天纪.exe)', 类名=GDI+ Hook Window Class
[2] 标题='', 类名=tooltips_class32
[3] 标题='', 类名=tooltips_class32
[4] 标题='', 类名=tooltips_class32
[5] 标题='', 类名=tooltips_class32
[6] 标题='', 类名=ComboLBox
[7] 标题='', 类名=WanNengWBTip
[8] 标题='', 类名=WanNengWBMenu
[9] 标题='', 类名=WanNengWBCand
[10] 标题='', 类名=WanNengWBComp
[11] 标题='', 类名=WanNengWBStatus
[12] 标题='', 类名=WanNengWBMerge
[13] 标题='', 类名=CLIENTWND_CLASS_NAME湷
[14] 标题='M', 类名=MSCTFIME UI
[15] 标题='Default IME', 类名=IME
[16] 标题='Default IME', 类名=IME
[17] 标题='', 类名=WanNengWBUI
